iata,name,city,country,lat,lon
AAA,Anaa Airport,Anaa,PF,-17.3526,-145.509995
AAC,El Arish International Airport,El Arish,EG,31.055324,33.827964
AAE,Annaba Rabah Bitat Airport,Annaba,DZ,36.826781,7.81334
AAK,Aranuka Airport,Buariki,KI,0.185278,173.636993
AAL,Aalborg Airport,Aalborg,DK,57.094763,9.84993
AAN,Al Ain International Airport,Al Ain,AE,24.2617,55.6092
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,-0.374478,117.250128
AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,45.002102,37.347301
AAR,Aarhus Airport,Aarhus,DK,56.303331,10.618286
AAT,Altay Xuedu Airport,Altay,CN,47.749886,88.085808
AAX,Romeu Zema Airport,Araxá,BR,-19.5632,-46.9604
AAY,Al Ghaydah International Airport,Al Ghaydah,YE,16.193341,52.174186
AAZ,Quezaltenango Airport,Quezaltenango,GT,14.8656,-91.501999
ABA,Abakan International Airport,Abakan,RU,53.740002,91.385002
ABB,Asaba International Airport,Asaba,NG,6.204167,6.665278
ABD,Abadan Ayatollah Jami International Airport,Abadan,IR,30.367887,48.230075
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,US,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,US,32.4113006592,-99.6819000244
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629
ABK,Kebri Dahar Airport,Kebri Dahar,ET,6.732577,44.241339
ABL,Ambler Airport,Ambler,US,67.105529,-157.855339
ABM,Northern Peninsula Airport,Bamaga,AU,-10.946194,142.455081
ABQ,Albuquerque International Sunport,Albuquerque,US,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,US,45.449100494384766,-98.42179870605467
ABS,Abu Simbel Airport,Abu Simbel,EG,22.374402,31.609881
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.298506,41.636153
ABU,AA Bere Tallo (Haliwen) Airport,Atambua,ID,-9.074841,124.903285
ABV,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317
ABX,Albury Airport,East Albury,AU,-36.066758,146.959148
ABY,Southwest Georgia Regional Airport,Albany,US,31.532946,-84.196215
ABZ,Aberdeen International Airport,Aberdeen,GB,57.2019,-2.19778
ACA,General Juan N. Álvarez International Airport,Acapulco,MX,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,GH,5.605189800262451,-0.1667860001325607
ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,28.945499,-13.6052
ACF,Aral Tarim Airport,Aral,CN,40.434748,81.26206
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,CH,47.485001,9.56077
ACI,Alderney Airport,Saint Anne,GG,49.706104,-2.21472
ACK,Nantucket Memorial Airport,Nantucket,US,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,US,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,40.978101,-124.109
ACX,Xingyi Wanfenglin Airport,Xingyi,CN,25.083423,104.960804
ACY,Atlantic City International Airport,Atlantic City,US,39.456201,-74.577511
ADA,Adana Şakirpaşa Airport,Seyhan,TR,36.982201,35.280399
ADB,Adnan Menderes International Airport,Gaziemir,TR,38.2924,27.157
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,8.97789,38.799301
ADE,Aden International Airport,Aden,YE,12.829564,45.029976
ADF,Adıyaman Airport,Adıyaman,TR,37.7314,38.468899
ADJ,Marka International (Amman Civil) Airport,Amman,JO,31.9727,35.9916
ADK,Adak Airport,Adak,US,51.883564,-176.642783
ADL,Adelaide International Airport,Adelaide,AU,-34.947512,138.533393
ADQ,Kodiak Airport,Kodiak,US,57.75,-152.4940033
ADU,Ardabil Airport,Ardabil,IR,38.3256988525,48.4244003296
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,CO,12.5836,-81.7112
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),CN,23.7206,106.959999
AEH,Abeche Airport,Abeche,TD,13.847,20.844299
AEP,Aeroparque Jorge Newbery,Buenos Aires,AR,-34.559419,-58.415536
AER,Sochi International Airport,Sochi,RU,43.449902,39.9566
AES,Ålesund Airport,Ålesund,NO,62.560443,6.110845
AET,Allakaket Airport,Allakaket,US,66.551804,-152.621994
AEU,Abu Musa Island Airport,Abu Musa,IR,25.8757,55.033001
AEX,Alexandria International Airport,Alexandria,US,31.325828,-92.546702
AEY,Akureyri International Airport,Akureyri,IS,65.656573,-18.072018
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,AR,-34.588299,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,BR,-9.866389,-56.106298
AFS,Sugraly Airport,Zarafshan,UZ,41.613899,64.2332
AFZ,Sabzevar National Airport,Sabzevar,IR,36.16809844970703,57.59519958496094
AGA,Al Massira Airport,Agadir (Temsia),MA,30.322478,-9.412003
AGE,Wangerooge Airport,Wangerooge,DE,53.782544,7.919584
AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,56.29610061645508,12.847100257873535
AGI,Wageningen Airstrip,Wageningen,SR,5.841252,-56.673247
AGJ,Aguni Airport,Aguni,JP,26.592755,127.240335
AGP,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911
AGR,Agra Airport / Agra Air Force Station,Agra,IN,27.157975,77.961025
AGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645
AGT,Aeropuerto Internacional Guaraní,Ciudad del Este,PY,-25.457186,-54.839544
AGU,Jesús Terán Peredo International Airport,Aguascalientes,MX,21.699589,-102.318372
AGX,Agatti Airport,Agatti,IN,10.8237,72.176003
AHA,Maa Mahamaya Airport,Ambikapur,IN,22.98753,83.19612
AHB,Abha International Airport,Abha,SA,18.2404,42.656601
AHE,Ahe Airport,Ahe Atoll,PF,-14.428099632263184,-146.2570037841797
AHO,Alghero-Fertilia Airport,Alghero,IT,40.632099,8.29077
AIA,Alliance Municipal Airport,Alliance,US,42.052543,-102.803965
AIN,Wainwright Airport,Wainwright,US,70.638,-159.994995
AIP,Adampur Airport,Adampur,IN,31.4338,75.758797
AIT,Aitutaki Airport,Aitutaki,CK,-18.8309,-159.764008
AIU,Enua Airport,Atiu Island,CK,-19.96780014038086,-158.11900329589844
AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,41.923599,8.80292
AJF,Al-Jawf International Airport,Al-Jawf,SA,29.783301,40.100905
AJI,Ağrı Airport,Ağrı,TR,39.655642,43.025742
AJL,Lengpui Airport,Aizawl (Lengpui),IN,23.840599,92.619698
AJN,Ouani Airport,Ouani,KM,-12.131047,44.430044
AJR,Arvidsjaur Airport,Arvidsjaur,SE,65.59030151367188,19.28190040588379
